epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,481.194,1.2229,0.91777,0.00972,0.80185,0.87689,0.89072,0.59853,1.08425,0.69123,0.01037,0.00118385,0.00118385,0.00118385
43,491.989,1.1944,0.91366,0.0093,0.82093,0.84776,0.87835,0.59008,1.07904,0.7322,0.01028,0.00117253,0.00117253,0.00117253
44,502.797,1.20065,0.90845,0.00957,0.78232,0.89292,0.88683,0.59948,1.09946,0.77331,0.01049,0.00116102,0.00116102,0.00116102
45,513.582,1.18428,0.90622,0.00946,0.78577,0.90201,0.88653,0.59685,1.07256,0.69577,0.01032,0.00114931,0.00114931,0.00114931
46,524.429,1.21799,0.89828,0.0096,0.85038,0.84652,0.89377,0.6066,1.06193,0.70401,0.01005,0.00113742,0.00113742,0.00113742
47,535.288,1.19107,0.8996,0.00916,0.83964,0.88045,0.89782,0.59524,1.12434,0.69457,0.01076,0.00112534,0.00112534,0.00112534
48,546.124,1.19612,0.88797,0.00949,0.82276,0.85765,0.9012,0.60484,1.08513,0.70003,0.0103,0.00111309,0.00111309,0.00111309
49,557.009,1.19521,0.91068,0.0093,0.82933,0.86,0.89581,0.61575,1.0664,0.72091,0.0101,0.00110066,0.00110066,0.00110066
50,567.869,1.19934,0.90083,0.00936,0.80859,0.83657,0.88763,0.59225,1.10999,0.70606,0.0106,0.00108807,0.00108807,0.00108807
51,578.681,1.18655,0.87541,0.00929,0.80258,0.89713,0.89812,0.59509,1.10625,0.70163,0.01058,0.00107532,0.00107532,0.00107532
52,589.458,1.18768,0.89528,0.00942,0.83395,0.87266,0.89423,0.60308,1.06934,0.64534,0.01017,0.00106242,0.00106242,0.00106242
53,600.176,1.19772,0.87257,0.00942,0.79794,0.88553,0.8931,0.58868,1.14473,0.69193,0.01113,0.00104936,0.00104936,0.00104936
54,611.1,1.18144,0.85173,0.00923,0.80492,0.88666,0.88619,0.5941,1.1099,0.72287,0.01061,0.00103616,0.00103616,0.00103616
55,622.008,1.17565,0.85918,0.00948,0.80538,0.91698,0.90076,0.6139,1.09083,0.67178,0.01053,0.00102282,0.00102282,0.00102282
56,632.847,1.17988,0.87754,0.00948,0.82759,0.88704,0.91078,0.61451,1.12395,0.66691,0.01078,0.00100935,0.00100935,0.00100935
57,643.689,1.20814,0.88047,0.00908,0.84315,0.85198,0.90411,0.62767,1.03214,0.66206,0.00975,0.000995756,0.000995756,0.000995756
58,654.567,1.18798,0.85817,0.0095,0.82625,0.87965,0.90001,0.60869,1.03878,0.64136,0.00986,0.00098204,0.00098204,0.00098204
59,665.423,1.17068,0.86595,0.00924,0.84113,0.87117,0.90894,0.61822,1.09725,0.6581,0.01055,0.000968209,0.000968209,0.000968209
60,676.271,1.17653,0.84751,0.00913,0.84168,0.86601,0.91309,0.62694,1.07054,0.65189,0.01011,0.00095427,0.00095427,0.00095427
61,687.084,1.15519,0.84502,0.00897,0.80472,0.89251,0.89905,0.58742,1.07435,0.66729,0.01007,0.00094023,0.00094023,0.00094023
62,697.893,1.15965,0.84496,0.00908,0.83314,0.86881,0.90216,0.60025,1.09183,0.68375,0.01031,0.000926093,0.000926093,0.000926093
63,708.742,1.1695,0.8331,0.00917,0.82335,0.87008,0.89346,0.60931,1.0659,0.68453,0.01004,0.000911867,0.000911867,0.000911867
64,719.614,1.16155,0.85122,0.00882,0.81699,0.87573,0.9011,0.60284,1.05068,0.65369,0.00984,0.000897557,0.000897557,0.000897557
65,730.484,1.16964,0.84475,0.0091,0.8,0.90577,0.90398,0.60978,1.07621,0.62653,0.01026,0.00088317,0.00088317,0.00088317
66,741.373,1.15301,0.83795,0.00876,0.81509,0.8952,0.91122,0.61378,1.05279,0.64119,0.00995,0.000868712,0.000868712,0.000868712
67,752.198,1.16806,0.83613,0.00891,0.8176,0.87235,0.90564,0.62121,1.05962,0.65173,0.01005,0.00085419,0.00085419,0.00085419
68,762.989,1.1664,0.83705,0.00926,0.83722,0.8798,0.90917,0.61934,1.05305,0.61702,0.01007,0.00083961,0.00083961,0.00083961
69,773.855,1.16494,0.83958,0.00915,0.81688,0.87166,0.90127,0.61689,1.09399,0.68171,0.01046,0.000824978,0.000824978,0.000824978
70,784.684,1.15128,0.83013,0.00928,0.8124,0.89471,0.90643,0.62994,1.05688,0.63274,0.00997,0.0008103,0.0008103,0.0008103
71,795.471,1.17227,0.84537,0.00936,0.8348,0.86275,0.89579,0.60071,1.08556,0.69304,0.01037,0.000795584,0.000795584,0.000795584
72,806.42,1.14223,0.80526,0.00877,0.82465,0.89816,0.90504,0.61346,1.08573,0.64737,0.01039,0.000780835,0.000780835,0.000780835
73,817.272,1.13593,0.80557,0.0085,0.8451,0.88195,0.90731,0.62006,1.04328,0.62281,0.00972,0.00076606,0.00076606,0.00076606
74,828.179,1.13917,0.8285,0.00903,0.81171,0.88687,0.89945,0.61828,1.04225,0.63881,0.00983,0.000751266,0.000751266,0.000751266
75,839.096,1.14412,0.81641,0.00885,0.80194,0.91657,0.9112,0.62653,1.0728,0.65431,0.01017,0.000736459,0.000736459,0.000736459
76,849.918,1.14041,0.81547,0.00888,0.84046,0.88445,0.90831,0.60985,1.08972,0.66191,0.01045,0.000721645,0.000721645,0.000721645
77,860.707,1.14078,0.81354,0.009,0.82381,0.86583,0.90068,0.61898,1.06117,0.68903,0.0101,0.000706831,0.000706831,0.000706831
78,871.625,1.13904,0.81492,0.00874,0.79699,0.90613,0.90438,0.61883,1.08456,0.66717,0.01042,0.000692024,0.000692024,0.000692024
79,882.446,1.13078,0.80544,0.00861,0.82859,0.88452,0.91199,0.61683,1.03906,0.64458,0.00974,0.00067723,0.00067723,0.00067723
80,893.323,1.13429,0.80757,0.00879,0.83103,0.88565,0.90965,0.61801,1.04983,0.61777,0.00987,0.000662455,0.000662455,0.000662455
81,904.225,1.13394,0.78962,0.00863,0.8215,0.89126,0.90537,0.6289,1.03992,0.64234,0.00986,0.000647706,0.000647706,0.000647706
82,915.127,1.13088,0.80747,0.00893,0.83843,0.86426,0.90665,0.61852,1.05037,0.64739,0.0099,0.00063299,0.00063299,0.00063299
83,925.885,1.1248,0.79863,0.00886,0.81471,0.89931,0.90912,0.62321,1.04029,0.62342,0.00972,0.000618312,0.000618312,0.000618312
84,936.734,1.11823,0.78132,0.00851,0.82554,0.87018,0.90404,0.61314,1.06793,0.64323,0.01022,0.00060368,0.00060368,0.00060368
85,947.57,1.12873,0.79117,0.00863,0.84516,0.9012,0.92004,0.61894,1.0728,0.61693,0.01021,0.0005891,0.0005891,0.0005891
86,958.407,1.12628,0.78797,0.00873,0.86744,0.89046,0.9303,0.63934,1.04681,0.62423,0.00983,0.000574578,0.000574578,0.000574578
87,969.305,1.11728,0.78499,0.00863,0.84284,0.86385,0.91042,0.63267,1.04136,0.64408,0.00981,0.00056012,0.00056012,0.00056012
88,980.206,1.10463,0.78547,0.00861,0.8054,0.90025,0.90753,0.61991,1.02964,0.63851,0.00968,0.000545733,0.000545733,0.000545733
